x Value, y Value
0, -0.111207
0.5, -0.18443
1, -0.205787
1.5, -0.248501
2, -0.291214
2.5, -0.251552
3, -0.272908
3.5, -0.27901
4, -0.260704
4.5, -0.318673
5, -0.321724
5.5, -0.349183
6, -0.156971
6.5, -0.254603
7, -0.205787
7.5, -0.187481
8, -0.205787
8.5, -0.263755
9, -0.306469
9.5, -0.236297
10, -0.187481
10.5, -0.181379
11, -0.330877
11.5, -0.285112
12, -0.24545
12.5, -0.196634
13, -0.263755
13.5, -0.150869
14, -0.346132
14.5, -0.376641
15, -0.361386
15.5, -0.346132
16, -0.294265
16.5, -0.361386
17, -0.361386
17.5, -0.266806
18, -0.163073
18.5, -0.349183
19, -0.272908
19.5, -0.047136
20, -0.282061
20.5, -0.248501
21, -0.257653
21.5, -0.318673
22, -0.355285
22.5, -0.260704
23, -0.193583
23.5, -0.306469
24, -0.367488
24.5, -0.34003
25, -0.300367
25.5, -0.30952
26, -0.312571
26.5, -0.291214
27, -0.068493
27.5, -0.288163
28, -0.346132
28.5, -0.300367
29, -0.236297
29.5, -0.324775
30, -0.327826
30.5, -0.275959
31, -0.211889
31.5, -0.257653
32, -0.132564
32.5, -0.208838
33, -0.178328
33.5, -0.233246
34, -0.285112
34.5, -0.27901
35, -0.282061
35.5, -0.199685
36, -0.21494
36.5, -0.285112
37, -0.288163
37.5, -0.330877
38, -0.27901
38.5, -0.269857
39, -0.187481
39.5, -0.294265
40, -0.236297
40.5, -0.352234
41, -0.227144
41.5, -0.266806
42, -0.224093
42.5, -0.367488
43, -0.217991
43.5, -0.126462
44, -0.257653
44.5, -0.346132
45, -0.147819
45.5, -0.300367
46, -0.306469
46.5, -0.18443
47, -0.135615
47.5, -0.306469
48, -0.217991
48.5, -0.160022
49, -0.275959
49.5, -0.30952
50, -0.172226
50.5, -0.367488
51, -0.224093
51.5, -0.327826
52, -0.364437
52.5, -0.315622
53, -0.205787
53.5, -0.260704
54, -0.391896
54.5, -0.199685
55, -0.303418
55.5, -0.336979
56, -0.239348
56.5, -0.236297
57, -0.251552
57.5, -0.266806
58, -0.382743
58.5, -0.147819
59, -0.208838
59.5, -0.275959
60, -0.257653
60.5, -0.324775
61, -0.272908
61.5, -0.169175
62, -0.297316
62.5, -0.266806
63, -0.230195
63.5, -0.333928
64, -0.062391
64.5, -0.254603
65, -0.34003
65.5, -0.333928
66, -0.221042
66.5, -0.211889
67, -0.141717
67.5, -0.239348
68, -0.242399
68.5, -0.251552
69, -0.297316
69.5, -0.217991
70, -0.24545
70.5, -0.282061
71, -0.199685
71.5, -0.18443
72, -0.190532
72.5, -0.336979
73, -0.221042
73.5, -0.294265
74, -0.227144
74.5, -0.233246
75, -0.034933
75.5, -0.275959
76, -0.208838
76.5, -0.297316
77, -0.257653
77.5, -0.285112
78, -0.34003
78.5, -0.291214
79, -0.24545
79.5, -0.208838
80, -0.333928
80.5, -0.181379
81, -0.336979
81.5, -0.376641
82, -0.196634
82.5, -0.336979
83, -0.318673
83.5, -0.102054
84, -0.254603
84.5, -0.4041
85, -0.291214
85.5, -0.248501
86, -0.34003
86.5, -0.333928
87, -0.269857
87.5, -0.272908
88, -0.324775
88.5, -0.275959
89, -0.272908
89.5, -0.193583
90, -0.27901
90.5, -0.266806
91, -0.288163
91.5, -0.163073
92, -0.410202
92.5, -0.315622
93, -0.272908
93.5, -0.138666
94, -0.181379
94.5, -0.367488
95, -0.27901
95.5, -0.181379
96, -0.254603
96.5, -0.242399
97, -0.211889
97.5, -0.318673
98, -0.24545
98.5, -0.24545
99, -0.312571
99.5, -0.282061
100, -0.224093
100.5, -0.221042
101, -0.294265
101.5, -0.361386
102, -0.382743
102.5, -0.428508
103, -0.303418
103.5, -0.336979
104, -0.266806
104.5, -0.370539
105, -0.364437
105.5, -0.306469
106, -0.263755
106.5, -0.18443
107, -0.266806
107.5, -0.288163
108, -0.291214
108.5, -0.327826
109, -0.294265
109.5, -0.282061
110, -0.306469
110.5, -0.236297
111, -0.181379
111.5, -0.221042
112, -0.294265
112.5, -0.364437
113, -0.251552
113.5, -0.083748
114, -0.15392
114.5, -0.166124
115, -0.260704
115.5, -0.224093
116, -0.272908
116.5, -0.227144
117, -0.260704
117.5, -0.260704
118, -0.397998
118.5, -0.260704
119, -0.150869
119.5, -0.24545
120, -0.321724
120.5, -0.397998
121, -0.21494
121.5, -0.208838
122, -0.294265
122.5, -0.266806
123, -0.34003
123.5, -0.193583
124, -0.254603
124.5, -0.181379
125, -0.315622
125.5, -0.132564
126, -0.129513
126.5, -0.254603
127, -0.291214
127.5, -0.330877
128, -0.263755
128.5, -0.236297
129, -0.196634
129.5, -0.306469
130, -0.272908
130.5, -0.21494
131, -0.364437
131.5, -0.321724
132, -0.129513
132.5, -0.410202
133, -0.263755
133.5, -0.208838
134, -0.291214
134.5, -0.315622
135, -0.291214
135.5, -0.352234
136, -0.254603
136.5, -0.315622
137, -0.205787
137.5, -0.288163
138, -0.336979
138.5, -0.242399
139, -0.208838
139.5, -0.315622
140, -0.346132
140.5, -0.230195
141, -0.172226
141.5, -0.227144
142, -0.221042
142.5, -0.193583
143, -0.251552
143.5, -0.364437
144, -0.254603
144.5, -0.401049
145, -0.175277
145.5, -0.196634
146, -0.111207
146.5, -0.111207
147, -0.269857
147.5, -0.285112
148, -0.410202
148.5, -0.236297
149, -0.12036
149.5, -0.12036
150, -0.288163
150.5, -0.160022
151, -0.282061
151.5, -0.330877
152, -0.324775
152.5, -0.239348
153, -0.175277
153.5, -0.327826
154, -0.208838
154.5, -0.18443
155, -0.358336
155.5, -0.30952
156, -0.27901
156.5, -0.144768
157, -0.233246
157.5, -0.388845
158, -0.297316
158.5, -0.251552
159, -0.300367
159.5, -0.294265
160, -0.233246
160.5, -0.163073
161, -0.330877
161.5, -0.230195
162, -0.18443
162.5, -0.303418
163, -0.285112
163.5, -0.462069
164, -0.346132
164.5, -0.24545
165, 0.007781
165.5, -0.227144
166, -0.181379
166.5, -0.382743
167, -0.187481
167.5, -0.285112
168, -0.318673
168.5, -0.236297
169, -0.217991
169.5, -0.251552
170, -0.248501
170.5, -0.196634
171, -0.230195
171.5, -0.391896
172, -0.239348
172.5, -0.330877
173, -0.321724
173.5, -0.242399
174, -0.202736
174.5, -0.211889
175, -0.312571
175.5, -0.391896
176, -0.294265
176.5, -0.178328
177, -0.300367
177.5, -0.391896
178, -0.282061
178.5, -0.263755
179, -0.352234
179.5, -0.37359
180, -0.239348
180.5, -0.21494
181, -0.199685
181.5, -0.327826
182, -0.260704
182.5, -0.086799
183, -0.272908
183.5, -0.269857
184, -0.022729
184.5, -0.156971
185, -0.236297
185.5, -0.263755
186, -0.294265
186.5, -0.257653
187, -0.221042
187.5, -0.193583
188, -0.239348
188.5, -0.266806
189, -0.221042
189.5, -0.254603
190, -0.343081
190.5, -0.358336
191, -0.169175
191.5, -0.181379
192, -0.257653
192.5, -0.343081
193, -0.294265
193.5, -0.272908
194, -0.410202
194.5, -0.388845
195, -0.379692
195.5, -0.294265
196, -0.355285
196.5, -0.251552
197, -0.230195
197.5, -0.300367
198, -0.266806
198.5, -0.199685
199, -0.251552
199.5, -0.239348
200, -0.37359
200.5, -0.24545
201, -0.294265
201.5, -0.221042
202, -0.336979
202.5, -0.187481
203, -0.248501
203.5, -0.27901
204, -0.224093
204.5, -0.291214
205, -0.202736
205.5, -0.18443
206, -0.236297
206.5, -0.233246
207, -0.291214
207.5, -0.236297
208, -0.208838
208.5, -0.217991
209, -0.336979
209.5, -0.272908
210, -0.178328
210.5, -0.242399
211, -0.132564
211.5, -0.169175
212, -0.30952
212.5, -0.178328
213, -0.361386
213.5, -0.282061
214, -0.315622
214.5, -0.336979
215, -0.288163
215.5, -0.315622
216, -0.150869
216.5, -0.257653
217, -0.282061
217.5, -0.208838
218, -0.285112
218.5, -0.196634
219, -0.303418
219.5, -0.236297
220, -0.303418
220.5, -0.34003
221, -0.257653
221.5, -0.379692
222, -0.330877
222.5, -0.202736
223, -0.147819
223.5, -0.236297
224, -0.27901
224.5, -0.333928
225, -0.21494
225.5, -0.382743
226, -0.266806
226.5, -0.336979
227, -0.196634
227.5, -0.300367
228, -0.18443
228.5, -0.221042
229, -0.21494
229.5, -0.27901
230, -0.327826
230.5, -0.303418
231, -0.077646
231.5, -0.126462
232, -0.257653
232.5, -0.160022
233, -0.300367
233.5, -0.440712
234, -0.21494
234.5, -0.324775
235, -0.172226
235.5, -0.193583
236, -0.266806
236.5, -0.193583
237, -0.367488
237.5, -0.306469
238, -0.306469
238.5, -0.202736
239, -0.303418
239.5, -0.260704
240, -0.257653
240.5, -0.239348
241, -0.318673
241.5, -0.24545
242, -0.34003
242.5, -0.230195
243, -0.196634
243.5, -0.282061
244, -0.199685
244.5, -0.379692
245, -0.150869
245.5, -0.385794
246, -0.358336
246.5, -0.217991
247, -0.297316
247.5, -0.272908
248, -0.251552
248.5, -0.382743
249, -0.321724
249.5, -0.355285
250, -0.294265
250.5, -0.202736
251, -0.324775
251.5, -0.288163
252, -0.205787
252.5, -0.260704
253, -0.126462
253.5, -0.263755
254, -0.196634
254.5, -0.141717
255, -0.397998
255.5, -0.30952
256, -0.391896
256.5, -0.248501
257, -0.327826
257.5, -0.236297
258, -0.367488
258.5, -0.117309
259, -0.282061
259.5, -0.230195
260, -0.21494
260.5, -0.27901
261, -0.163073
261.5, -0.318673
262, -0.196634
262.5, -0.324775
263, -0.394947
263.5, -0.321724
264, -0.346132
264.5, -0.376641
265, -0.349183
265.5, -0.208838
266, -0.266806
266.5, -0.193583
267, -0.21494
267.5, -0.202736
268, -0.12036
268.5, -0.330877
269, -0.248501
269.5, -0.291214
270, -0.21494
270.5, -0.221042
271, -0.269857
271.5, -0.291214
272, -0.254603
272.5, -0.230195
273, -0.285112
273.5, -0.163073
274, -0.18443
274.5, -0.291214
275, -0.205787
275.5, -0.233246
276, -0.227144
276.5, -0.266806
277, -0.181379
277.5, -0.306469
278, -0.21494
278.5, -0.248501
279, -0.294265
279.5, -0.221042
280, -0.242399
280.5, -0.272908
281, -0.391896
281.5, -0.376641
282, -0.300367
282.5, -0.254603
283, -0.05934
283.5, -0.30952
284, -0.288163
284.5, -0.126462
285, -0.315622
285.5, -0.282061
286, -0.260704
286.5, -0.18443
287, -0.242399
287.5, -0.193583
288, -0.211889
288.5, -0.30952
289, -0.236297
289.5, -0.285112
290, -0.285112
290.5, -0.269857
291, -0.163073
291.5, -0.391896
292, -0.303418
292.5, -0.330877
293, -0.343081
293.5, -0.123411
294, -0.346132
294.5, -0.196634
295, -0.166124
295.5, -0.300367
296, -0.303418
296.5, -0.24545
297, -0.312571
297.5, -0.221042
298, -0.196634
298.5, -0.401049
299, -0.239348
299.5, -0.49868
300, -0.224093
300.5, -0.312571
301, -0.330877
301.5, -0.282061
302, -0.227144
302.5, -0.291214
303, -0.233246
303.5, -0.21494
304, -0.346132
304.5, -0.266806
305, -0.202736
305.5, -0.327826
306, -0.27901
306.5, -0.242399
307, -0.205787
307.5, -0.318673
308, -0.272908
308.5, -0.260704
309, -0.108156
309.5, -0.303418
310, -0.291214
310.5, -0.275959
311, -0.285112
311.5, -0.34003
312, -0.330877
312.5, -0.248501
313, -0.27901
313.5, -0.156971
314, -0.269857
314.5, -0.330877
315, -0.30952
315.5, -0.254603
316, -0.300367
316.5, -0.230195
317, -0.178328
317.5, -0.30952
318, -0.419355
318.5, -0.336979
319, -0.401049
319.5, -0.346132
320, -0.242399
320.5, -0.275959
321, -0.272908
321.5, -0.172226
322, -0.166124
322.5, -0.300367
323, -0.248501
323.5, -0.352234
324, -0.367488
324.5, -0.18443
325, -0.236297
325.5, -0.233246
326, -0.275959
326.5, -0.224093
327, -0.394947
327.5, -0.199685
328, -0.282061
328.5, -0.190532
329, -0.315622
329.5, -0.193583
330, -0.394947
330.5, -0.221042
331, -0.300367
331.5, -0.196634
332, -0.254603
332.5, -0.336979
333, -0.343081
333.5, -0.205787
334, -0.318673
334.5, -0.187481
335, -0.181379
335.5, -0.230195
336, -0.227144
336.5, -0.239348
337, -0.126462
337.5, -0.163073
338, -0.199685
338.5, -0.272908
339, -0.27901
339.5, -0.233246
340, -0.324775
340.5, -0.272908
341, -0.260704
341.5, -0.211889
342, -0.160022
342.5, -0.34003
343, -0.230195
343.5, -0.27901
344, -0.217991
344.5, -0.30952
345, -0.303418
345.5, -0.285112
346, -0.147819
346.5, -0.285112
347, -0.248501
347.5, -0.343081
348, -0.288163
348.5, -0.275959
349, -0.138666
349.5, -0.18443
350, -0.336979
350.5, -0.21494
351, -0.224093
351.5, -0.379692
352, -0.321724
352.5, -0.199685
353, -0.190532
353.5, -0.254603
354, -0.205787
354.5, -0.401049
355, -0.150869
355.5, -0.254603
356, -0.21494
356.5, -0.306469
357, -0.358336
357.5, -0.242399
358, -0.291214
358.5, -0.266806
359, -0.364437
359.5, -0.410202
360, -0.352234
360.5, -0.242399
361, -0.349183
361.5, -0.190532
362, -0.300367
362.5, -0.318673
363, -0.227144
363.5, -0.34003
364, -0.324775
364.5, -0.291214
365, -0.15392
365.5, -0.242399
366, -0.297316
366.5, -0.297316
367, -0.361386
367.5, -0.385794
368, -0.239348
368.5, -0.269857
369, -0.410202
369.5, -0.236297
370, -0.364437
370.5, -0.34003
371, -0.242399
371.5, -0.138666
372, -0.306469
372.5, -0.193583
373, -0.141717
373.5, -0.236297
374, -0.275959
374.5, -0.227144
375, -0.239348
375.5, -0.327826
376, -0.306469
376.5, -0.236297
377, -0.318673
377.5, -0.27901
378, -0.321724
378.5, -0.294265
379, -0.196634
379.5, -0.208838
380, -0.370539
380.5, -0.248501
381, -0.224093
381.5, -0.30952
382, -0.266806
382.5, -0.452916
383, -0.12036
383.5, -0.163073
384, -0.306469
384.5, -0.367488
385, -0.065442
385.5, -0.306469
386, -0.27901
386.5, -0.34003
387, -0.282061
387.5, -0.230195
388, -0.227144
388.5, -0.166124
389, -0.21494
389.5, -0.193583
390, -0.190532
390.5, -0.370539
391, -0.306469
391.5, -0.181379
392, -0.196634
392.5, -0.300367
393, -0.224093
393.5, -0.163073
394, -0.193583
394.5, -0.324775
395, -0.251552
395.5, -0.27901
396, -0.263755
396.5, -0.251552
397, -0.288163
397.5, -0.27901
398, -0.358336
398.5, -0.269857
399, -0.187481
399.5, -0.175277
400, -0.321724
400.5, -0.208838
401, -0.312571
401.5, -0.156971
402, -0.160022
402.5, -0.364437
403, -0.257653
403.5, -0.282061
404, -0.30952
404.5, -0.221042
405, -0.257653
405.5, -0.333928
406, -0.239348
406.5, -0.27901
407, -0.34003
407.5, -0.303418
408, -0.327826
408.5, -0.275959
409, -0.343081
409.5, -0.333928
410, -0.379692
410.5, -0.294265
411, -0.333928
411.5, -0.242399
412, -0.358336
412.5, -0.24545
413, -0.239348
413.5, -0.321724
414, -0.330877
414.5, -0.355285
415, -0.282061
415.5, -0.254603
416, -0.150869
416.5, -0.266806
417, -0.24545
417.5, -0.221042
418, -0.291214
418.5, -0.34003
419, -0.114258
419.5, -0.336979
420, -0.254603
420.5, -0.257653
421, -0.370539
421.5, -0.254603
422, -0.282061
422.5, -0.285112
423, -0.282061
423.5, -0.248501
424, -0.208838
424.5, -0.272908
425, -0.239348
425.5, -0.193583
426, -0.190532
426.5, -0.224093
427, -0.248501
427.5, -0.315622
428, -0.239348
428.5, -0.230195
429, -0.233246
429.5, -0.160022
430, -0.24545
430.5, -0.166124
431, -0.202736
431.5, -0.21494
432, -0.248501
432.5, -0.205787
433, -0.156971
433.5, -0.263755
434, -0.248501
434.5, -0.27901
435, -0.288163
435.5, -0.248501
436, -0.300367
436.5, -0.202736
437, -0.12036
437.5, -0.196634
438, -0.224093
438.5, -0.044086
439, -0.190532
439.5, -0.318673
440, -0.208838
440.5, -0.333928
441, -0.282061
441.5, -0.364437
442, -0.187481
442.5, -0.275959
443, -0.294265
443.5, -0.257653
444, -0.291214
444.5, -0.321724
445, -0.236297
445.5, -0.166124
446, -0.260704
446.5, -0.086799
447, -0.397998
447.5, -0.269857
448, -0.263755
448.5, -0.318673
449, -0.370539
449.5, -0.336979
450, -0.211889
450.5, -0.275959
451, -0.211889
451.5, -0.248501
452, -0.260704
452.5, -0.224093
453, -0.330877
453.5, -0.343081
454, -0.18443
454.5, -0.138666
455, -0.263755
455.5, -0.187481
456, -0.327826
456.5, -0.333928
457, -0.300367
457.5, -0.254603
458, -0.269857
458.5, -0.275959
459, -0.327826
459.5, -0.254603
460, -0.288163
460.5, -0.294265
461, -0.324775
461.5, -0.260704
462, -0.385794
462.5, -0.327826
463, -0.34003
463.5, -0.428508
464, -0.336979
464.5, -0.24545
